passenger,start,end,time
0,0,3,695
1,2,5,793
2,2,3,642
3,2,3,758
4,1,3,832
5,4,5,934
6,4,5,905
7,4,5,317
8,2,5,369
9,2,4,580
10,0,1,650
11,2,5,429
12,2,3,285
13,2,3,719
14,3,5,815
15,4,5,767
16,2,4,792
17,3,4,947
18,2,5,521
19,4,5,658
20,0,5,605
21,4,5,880
22,3,5,722
23,3,5,516
24,0,1,12
25,3,5,576
26,0,2,897
27,4,5,170
28,2,5,190
29,2,3,887
30,1,2,513
31,4,5,395
32,2,3,518
33,0,1,296
34,2,4,480
35,4,5,58
36,3,5,280
37,3,4,685
38,1,4,876
39,1,3,474
40,2,4,566
41,1,5,522
42,0,3,95
43,2,3,56
44,2,3,827
45,0,1,730
46,0,2,477
47,3,4,414
48,2,5,493
49,3,5,221
50,4,5,31
51,1,2,474
52,0,3,773
53,2,5,763
54,2,5,814
55,3,4,227
56,2,3,549
57,2,5,622
58,1,2,338
59,4,5,214
60,0,2,295
61,1,3,634
62,3,5,754
63,2,5,220
64,1,3,120
65,2,3,500
66,3,5,306
67,0,3,111
68,1,5,673
69,0,5,610
70,4,5,896
71,4,5,309
72,0,4,155
73,2,4,357
74,3,4,689
75,2,4,963
76,2,5,203
77,4,5,772
78,4,5,41
79,3,5,523
80,2,5,784
81,4,5,325
82,3,5,890
83,2,3,800
84,2,3,135
85,2,3,420
86,1,5,413
87,0,4,65
88,0,4,907
89,3,5,421
90,2,4,400
91,2,4,356
92,0,1,97
93,2,3,103
94,2,4,79
95,3,4,270
96,4,5,804
97,2,5,490
98,3,4,745
99,0,3,914
100,0,1,259
101,2,4,312
102,1,4,372
103,0,5,784
104,4,5,55
105,0,4,643
106,4,5,260
107,2,4,146
108,1,4,495
109,4,5,517
110,1,4,377
111,2,4,483
112,1,4,976
113,2,3,732
114,2,4,110
115,2,3,694
116,2,4,719
117,2,3,667
118,2,4,596
119,2,3,95
120,2,4,511
121,3,4,619
122,1,2,946
123,1,2,677
124,2,5,645
125,2,5,693
126,4,5,490
127,0,1,663
128,4,5,608
129,2,3,459
130,2,5,240
131,1,4,346
132,2,4,552
133,4,5,196
134,1,5,448
135,1,4,874
136,1,3,551
137,4,5,939
138,2,3,989
139,0,2,451
140,4,5,739
141,2,5,862
142,1,2,99
143,1,4,653
144,2,5,18
145,3,5,33
146,0,1,383
147,1,4,679
148,2,3,905
149,3,4,992
150,2,3,337
151,0,4,997
152,3,4,692
153,1,5,434
154,2,3,731
155,4,5,660
156,2,4,31
157,1,5,472
158,1,5,93
159,3,5,806
160,2,3,70
161,3,4,685
162,3,4,600
163,3,5,972
164,2,5,40
165,4,5,200
166,0,3,506
167,2,4,748
168,2,4,373
169,4,5,343
170,4,5,511
171,0,5,392
172,1,3,231
173,2,4,483
174,3,5,454
175,4,5,290
176,3,5,734
177,3,5,652
178,0,1,910
179,1,3,930
180,4,5,233
181,3,5,220
182,0,1,367
183,1,3,146
184,0,3,393
185,2,4,467
186,4,5,61
187,0,1,997
188,1,5,228
189,0,5,122
190,3,4,765
191,1,5,252
192,3,5,510
193,2,4,802
194,4,5,81
195,3,4,287
196,4,5,808
197,2,4,544
198,4,5,616
199,1,2,746
200,1,3,284
201,1,2,963
202,0,5,970
203,0,3,980
204,2,3,997
205,1,4,513
206,4,5,525
207,0,5,299
208,4,5,241
209,4,5,87
210,1,4,184
211,2,4,781
212,0,2,842
213,3,5,162
214,2,5,931
215,3,5,658
216,2,3,638
217,3,4,224
218,4,5,840
219,3,5,533
220,2,4,770
221,1,4,437
222,1,5,822
223,2,3,345
224,2,5,321
225,4,5,733
226,0,5,917
227,3,4,70
228,3,5,880
229,1,4,338
230,1,2,884
231,1,3,376
232,4,5,861
233,4,5,463
234,3,4,543
235,0,3,639
236,3,5,944
237,3,5,442
238,0,3,662
239,0,2,797
240,1,3,247
241,2,5,756
242,3,5,424
243,1,3,686
244,3,4,923
245,1,4,583
246,0,1,601
247,4,5,259
248,2,3,267
249,3,4,451
250,4,5,868
251,4,5,284
252,2,3,481
253,1,2,279
254,4,5,568
255,2,5,906
256,2,4,520
257,0,5,878
258,2,3,712
259,0,5,910
260,4,5,642
261,1,4,320
262,2,4,383
263,2,3,575
264,0,2,337
265,0,3,618
266,4,5,609
267,3,4,268
268,2,3,995
269,4,5,957
270,0,5,429
271,0,1,301
272,2,4,772
273,2,3,164
274,2,4,942
275,2,4,541
276,1,3,330
277,3,4,650
278,0,4,526
279,2,4,432
280,1,2,540
281,2,3,944
282,4,5,546
283,2,3,771
284,0,3,535
285,2,5,21
286,0,1,357
287,1,4,259
288,2,3,634
289,4,5,597
290,2,3,555
291,2,4,846
292,1,5,784
293,2,4,123
294,2,3,605
295,1,4,679
296,1,2,479
297,0,1,359
298,2,5,516
299,0,2,737
300,0,5,103
301,2,3,327
302,2,4,31
303,1,3,618
304,4,5,88
305,4,5,534
306,0,1,854
307,3,5,860
308,2,4,726
309,0,1,681
310,4,5,821
311,0,4,136
312,2,4,127
313,1,2,746
314,2,4,211
315,3,4,883
316,3,5,176
317,0,2,356
318,0,4,940
319,4,5,427
320,1,3,922
321,3,5,857
322,3,4,469
323,1,2,701
324,2,4,514
325,3,4,415
326,3,5,851
327,4,5,871
328,2,3,220
329,2,4,511
330,2,5,796
331,3,4,998
332,1,4,804
333,0,1,997
334,2,5,638
335,4,5,176
336,1,4,19
337,2,3,337
338,1,4,711
339,1,4,325
340,0,5,713
341,0,4,244
342,2,3,831
343,2,5,771
344,0,3,669
345,2,3,81
346,0,4,49
347,2,4,928
348,0,3,905
349,1,3,453
350,2,4,652
351,2,4,722
352,2,3,242
353,4,5,937
354,2,3,946
355,0,2,489
356,4,5,106
357,2,4,650
358,2,3,292
359,2,3,398
360,0,3,353
361,1,4,548
362,0,2,321
363,2,4,323
364,1,4,161
365,2,4,969
366,1,4,580
367,4,5,496
368,1,5,87
369,3,5,831
370,3,5,987
371,1,2,445
372,0,3,509
373,4,5,802
374,2,5,271
375,2,4,565
376,0,1,212
377,3,4,108
378,2,4,996
379,3,5,915
380,4,5,334
381,3,5,692
382,2,4,493
383,2,4,778
384,1,4,358
385,1,4,199
386,0,4,22
387,2,3,496
388,2,3,626
389,2,3,26
390,1,3,480
391,0,1,935
392,2,5,579
393,0,2,714
394,2,3,245
395,0,5,707
396,3,4,334
397,2,3,895
398,0,2,818
399,2,5,483
400,1,3,697
401,4,5,615
402,0,5,910
403,4,5,887
404,2,3,165
405,0,1,216
406,1,4,634
407,0,4,846
408,2,3,881
409,1,5,104
410,2,5,770
411,4,5,378
412,3,4,315
413,3,4,486
414,3,5,622
415,4,5,821
416,4,5,456
417,2,3,937
418,2,5,488
419,0,3,456
420,2,4,9
421,4,5,246
422,1,3,28
423,0,2,285
424,3,4,322
425,1,4,172
426,0,5,774
427,0,4,93
428,4,5,895
429,1,4,142
430,4,5,137
431,4,5,695
432,1,4,53
433,2,3,498
434,0,2,558
435,2,5,618
436,2,3,465
437,3,5,3
438,2,3,390
439,4,5,431
440,3,4,838
441,2,3,154
442,4,5,545
443,1,4,515
444,3,5,387
445,1,2,117
446,1,3,735
447,3,5,452
448,2,3,859
449,0,4,940
450,3,4,450
451,0,3,661
452,0,4,735
453,1,4,689
454,4,5,834
455,0,4,211
456,4,5,488
457,3,5,897
458,0,2,431
459,4,5,733
460,0,5,400
461,4,5,747
462,2,3,949
463,0,1,312
464,3,5,313
465,4,5,677
466,4,5,563
